CustomerId;Surname;CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary;Exited
15647311;Hill;608;Spain;Female;41;1;8380786;1;0;1;11254258;0
15737888;Mitchell;850;Spain;Female;43;2;12551082;1;1;1;790841;0
15574012;Chu;645;Spain;Male;44;8;11375578;2;1;0;14975671;1
15656148;Obinna;376;Germany;Female;29;4;11504674;4;1;0;11934688;1
15737173;Andrews;497;Spain;Male;24;3;0;2;1;0;7639001;0
15600882;Scott;635;Spain;Female;35;7;0;2;1;1;6595165;0
15643966;Goforth;616;Germany;Male;45;3;14312941;2;0;1;6432726;0
15737452;Romeo;653;Germany;Male;58;1;13260288;1;1;0;509767;1
15788218;Henderson;549;Spain;Female;24;9;0;2;1;1;1440641;0
15661507;Muldrow;587;Spain;Male;45;6;0;1;0;0;15868481;0
15597945;Dellucci;636;Spain;Female;32;8;0;2;1;0;13855546;0
15699309;Gerasimov;510;Spain;Female;38;4;0;1;1;0;11891353;1
15736816;Young;756;Germany;Male;36;2;13681564;1;1;1;17004195;0
15728693;McWilliams;574;Germany;Female;43;3;14134943;1;1;1;10018743;0
15589475;Azikiwe;591;Spain;Female;39;3;0;3;1;0;14046938;1
15750181;Sanderson;553;Germany;Male;41;9;11011254;2;0;0;8189881;0
15659428;Maggard;520;Spain;Female;42;6;0;2;1;1;3441055;0
15732963;Clements;722;Spain;Female;29;9;0;2;1;1;14203307;0
15788448;Watson;490;Spain;Male;31;3;14526023;1;0;1;11406677;0
15729599;Lorenzo;804;Spain;Male;33;7;765486;1;0;1;9845345;0
15585768;Cameron;582;Germany;Male;41;6;7034948;2;0;1;17807404;0
15619360;Hsiao;472;Spain;Male;40;4;0;1;1;0;7015422;0
15684171;Bianchi;660;Spain;Female;61;5;15593111;1;1;1;15833839;0
15754849;Tyler;776;Germany;Female;32;4;10942113;2;1;1;12651746;0
15602280;Martin;829;Germany;Female;27;9;11204567;1;1;1;11970821;1
15771573;Okagbue;637;Germany;Female;39;9;1378438;1;1;1;1176228;1
15766205;Yin;550;Germany;Male;38;2;10339138;1;0;1;9087813;0
15771873;Buccho;776;Germany;Female;37;2;10376922;2;1;0;19409912;0
15616550;Chidiebele;698;Germany;Male;44;10;11636337;2;1;0;19805916;0
15768193;Trevisani;585;Germany;Male;36;5;14605097;2;0;0;8642457;0
15702298;Parkhill;655;Germany;Male;41;8;12556197;1;0;0;16404094;1
15569590;Yoo;601;Germany;Male;42;1;9849572;1;1;0;4001476;1
15647091;Endrizzi;725;Germany;Male;19;0;758882;1;0;0;4561375;0
15623944;T'ien;511;Spain;Female;66;4;0;1;1;0;164311;1
15651280;Hunter;742;Germany;Male;35;5;136857;1;0;0;8450957;0
15773469;Clark;687;Germany;Female;27;9;15232888;2;0;0;12649482;0
15702014;Jeffrey;555;Spain;Male;33;1;5608469;2;0;0;17879813;0
15751208;Pirozzi;684;Spain;Male;56;8;7870716;1;1;1;9939836;0
15592461;Jackson;603;Germany;Male;26;4;10916637;1;1;1;9284067;0
15789484;Hammond;751;Germany;Female;36;6;16983146;2;1;1;2775836;0
15696061;Brownless;581;Germany;Female;34;1;10163304;1;1;0;11043151;0
15641582;Chibugo;735;Germany;Male;43;10;12318001;2;1;1;19667328;0
15638424;Glauert;661;Germany;Female;35;5;15072553;2;0;1;11365685;0
15703793;Konovalova;738;Germany;Male;58;2;13374544;4;1;0;2837386;1
15812518;Palermo;657;Spain;Female;37;0;16360718;1;0;1;4420355;0
15779052;Ballard;604;Germany;Female;25;5;15778084;2;1;1;5842681;0
15575185;Bushell;757;Spain;Male;33;5;7725322;1;0;1;19423963;0
15803136;Postle;416;Germany;Female;41;10;12218966;2;1;0;9830161;0
15805254;Ndukaku;652;Spain;Female;75;10;0;2;1;1;11467575;0
15762418;Gant;750;Spain;Male;22;3;12168182;1;1;0;12864335;1
15767954;Osborne;635;Germany;Female;28;3;8162367;2;1;1;15679136;0
15757535;Heap;647;Spain;Female;44;5;0;3;1;1;17420522;1
15676966;Capon;730;Spain;Male;42;4;0;2;0;1;8598247;0
15699461;Fiorentini;515;Spain;Male;35;10;17627395;1;0;1;12127778;0
15738721;Graham;773;Spain;Male;41;9;10282744;1;0;1;6459525;0
15693683;Yuille;814;Germany;Male;29;8;970864;2;1;1;19727613;0
15604348;Allard;710;Spain;Male;22;8;0;2;0;0;9964504;0
15776605;Bradley;528;Spain;Male;36;7;0;2;1;0;6053656;0
15804919;Dunbabin;670;Spain;Female;65;1;0;1;1;1;17765568;1
15613854;Mauldon;622;Spain;Female;46;4;10707327;2;1;1;3098459;1
15599195;Stiger;582;Germany;Male;32;1;8893862;1;1;1;1005453;0
15812878;Parsons;785;Germany;Female;36;2;9980685;1;0;1;3697652;0
15602312;Walkom;605;Spain;Male;33;5;1500928;1;0;0;7186279;0
15744689;T'ang;479;Germany;Male;35;9;9283389;1;1;0;9944986;1
15803526;Eremenko;685;Germany;Male;30;3;9053681;1;0;1;6308288;0
15665790;Rowntree;538;Germany;Male;39;7;1080551;2;1;0;2723126;0
15591100;Chiemela;675;Spain;Male;36;9;10619055;1;0;1;2299432;0
15609618;Fanucci;721;Germany;Male;28;9;15447554;2;0;1;10130094;1
15675522;Ko;628;Germany;Female;30;9;13235129;2;1;1;7416913;0
15705512;Welch;668;Germany;Female;37;6;1678644;1;1;0;11563829;0
15661670;Chidozie;524;Germany;Female;31;8;10781863;1;1;0;19972539;1
15600781;Wu;699;Germany;Male;34;4;18517381;2;1;0;12083448;0
15580203;Kennedy;674;Spain;Male;39;6;12019342;1;0;0;10013095;0
15760085;Calabresi;684;Germany;Female;48;10;12638442;1;1;1;19812936;0
15782688;Piccio;625;Germany;Male;56;0;14850724;1;1;0;4682408;1
15718369;Kaodilinakachukwu;795;Germany;Female;33;9;13086243;1;1;1;11493521;0
15712543;Chinweike;789;Germany;Male;39;7;12482846;2;1;1;12441108;0
15584518;Arthur;589;Germany;Female;50;5;14489505;2;1;1;3494123;0
15802381;Li;461;Germany;Female;34;5;6366393;1;0;1;16778428;0
15594408;Chia;584;Spain;Female;48;2;2131462;1;1;0;7516125;1
15640905;Vasin;579;Spain;Female;35;1;12949036;2;0;1;859083;1
15698932;Groves;756;Germany;Male;44;10;13745209;1;1;0;1895439;0
15713483;Greeves;793;Spain;Male;52;2;0;1;1;0;15912382;1
15800703;Madukwe;485;Spain;Female;21;5;11315722;1;1;1;541415;0
15705707;Bennelong;635;Spain;Female;29;8;13829694;2;1;0;14107551;0
15650237;Morgan;754;Spain;Female;32;7;0;2;1;0;8952075;0
15811589;Metcalfe;716;Spain;Male;42;8;0;2;1;0;18080042;0
15679145;Chou;706;Spain;Male;57;7;0;1;1;0;1794116;1
15623595;Clayton;586;Spain;Female;28;2;0;2;1;1;9206735;0
15804017;Chigolum;631;Germany;Female;33;4;1232467;1;0;0;11268757;0
15692132;Wilkinson;717;Spain;Female;22;6;10106025;1;0;1;8469956;0
15680772;Hu;721;Spain;Female;36;2;0;2;1;1;1069778;0
15658929;Taverner;683;Spain;Male;29;0;13370289;1;1;0;5558254;1
15585388;Sherman;660;Germany;Male;31;9;12518975;2;1;1;13987443;0
15724623;Taubman;704;Germany;Female;24;7;11303422;1;1;0;16250348;1
15588537;Robinson;615;Spain;Female;41;9;10901323;1;1;0;19649996;0
15574692;Pinto;667;Spain;Female;39;2;0;2;1;0;4072124;1
15611325;Wood;682;Germany;Male;24;9;5792981;2;0;0;531343;0
15613172;Sun;628;Germany;Male;27;5;9582649;2;1;0;15599696;0
15651022;Yost;480;Germany;Male;44;10;12960857;1;1;0;54727;1
15755209;Fu;484;Spain;Female;35;7;13386821;1;1;1;272861;0
15790355;Okechukwu;606;Germany;Male;36;5;19047948;2;0;0;17935189;0
15762615;Campbell;597;Spain;Female;40;8;10199312;1;0;1;9477412;0
