CustomerId;Surname;CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary;Exited
15634602;Hargrave;619;France;Female;42;2;0;1;1;1;10134888;1
15647311;Hill;608;Spain;Female;41;1;8380786;1;0;1;11254258;0
15619304;Onio;502;France;Female;42;8;1596608;3;1;0;11393157;1
15701354;Boni;699;France;Female;39;1;0;2;0;0;9382663;0
15737888;Mitchell;850;Spain;Female;43;2;12551082;1;1;1;790841;0
15574012;Chu;645;Spain;Male;44;8;11375578;2;1;0;14975671;1
15592531;Bartlett;822;France;Male;50;7;0;2;1;1;100628;0
15656148;Obinna;376;Germany;Female;29;4;11504674;4;1;0;11934688;1
15792365;He;501;France;Male;44;4;14205107;2;0;1;749405;0
15592389;H?;684;France;Male;27;2;13460388;1;1;1;7172573;0
15767821;Bearce;528;France;Male;31;6;10201672;2;0;0;8018112;0
15737173;Andrews;497;Spain;Male;24;3;0;2;1;0;7639001;0
15632264;Kay;476;France;Female;34;10;0;2;1;0;2626098;0
15691483;Chin;549;France;Female;25;5;0;2;0;0;19085779;0
15600882;Scott;635;Spain;Female;35;7;0;2;1;1;6595165;0
15643966;Goforth;616;Germany;Male;45;3;14312941;2;0;1;6432726;0
15737452;Romeo;653;Germany;Male;58;1;13260288;1;1;0;509767;1
15788218;Henderson;549;Spain;Female;24;9;0;2;1;1;1440641;0
15661507;Muldrow;587;Spain;Male;45;6;0;1;0;0;15868481;0
15568982;Hao;726;France;Female;24;6;0;2;1;1;5472403;0
15577657;McDonald;732;France;Male;41;8;0;2;1;1;17088617;0
15597945;Dellucci;636;Spain;Female;32;8;0;2;1;0;13855546;0
15699309;Gerasimov;510;Spain;Female;38;4;0;1;1;0;11891353;1
15725737;Mosman;669;France;Male;46;3;0;2;0;1;848775;0
15625047;Yen;846;France;Female;38;5;0;1;1;1;18761616;0
15738191;Maclean;577;France;Male;25;3;0;2;0;1;12450829;0
15736816;Young;756;Germany;Male;36;2;13681564;1;1;1;17004195;0
15700772;Nebechi;571;France;Male;44;9;0;2;0;0;3843335;0
15728693;McWilliams;574;Germany;Female;43;3;14134943;1;1;1;10018743;0
15656300;Lucciano;411;France;Male;29;0;5969717;2;1;1;5348321;0
15589475;Azikiwe;591;Spain;Female;39;3;0;3;1;0;14046938;1
15706552;Odinakachukwu;533;France;Male;36;7;853117;1;0;1;15673191;0
15750181;Sanderson;553;Germany;Male;41;9;11011254;2;0;0;8189881;0
15659428;Maggard;520;Spain;Female;42;6;0;2;1;1;3441055;0
15732963;Clements;722;Spain;Female;29;9;0;2;1;1;14203307;0
15794171;Lombardo;475;France;Female;45;0;13426404;1;1;0;2782299;1
15788448;Watson;490;Spain;Male;31;3;14526023;1;0;1;11406677;0
15729599;Lorenzo;804;Spain;Male;33;7;765486;1;0;1;9845345;0
15717426;Armstrong;850;France;Male;36;7;0;1;1;1;408129;0
15585768;Cameron;582;Germany;Male;41;6;7034948;2;0;1;17807404;0
15619360;Hsiao;472;Spain;Male;40;4;0;1;1;0;7015422;0
15738148;Clarke;465;France;Female;51;8;12252232;1;0;0;18129765;1
15687946;Osborne;556;France;Female;61;2;11741935;1;1;1;9415383;0
15755196;Lavine;834;France;Female;49;2;13139456;1;0;0;19436576;1
15684171;Bianchi;660;Spain;Female;61;5;15593111;1;1;1;15833839;0
15754849;Tyler;776;Germany;Female;32;4;10942113;2;1;1;12651746;0
15602280;Martin;829;Germany;Female;27;9;11204567;1;1;1;11970821;1
15771573;Okagbue;637;Germany;Female;39;9;1378438;1;1;1;1176228;1
15766205;Yin;550;Germany;Male;38;2;10339138;1;0;1;9087813;0
15771873;Buccho;776;Germany;Female;37;2;10376922;2;1;0;19409912;0
15616550;Chidiebele;698;Germany;Male;44;10;11636337;2;1;0;19805916;0
15768193;Trevisani;585;Germany;Male;36;5;14605097;2;0;0;8642457;0
15683553;O'Brien;788;France;Female;33;5;0;2;0;0;11697819;0
15702298;Parkhill;655;Germany;Male;41;8;12556197;1;0;0;16404094;1
15569590;Yoo;601;Germany;Male;42;1;9849572;1;1;0;4001476;1
15760861;Phillipps;619;France;Male;43;1;12521192;1;1;1;11341049;0
15630053;Tsao;656;France;Male;45;5;1278644;1;1;0;8710757;0
15647091;Endrizzi;725;Germany;Male;19;0;758882;1;0;0;4561375;0
